date, pm25, pm10, o3, no2, so2, co
2023/2/19, 87, 33, 10, 12, 2, 47
2023/2/20, 65, 50, 9, , 2, 49
2023/2/21, 69, 44, 9, 18, 2, 50
2023/2/22, 84, 48, 10, 17, 2, 52
2023/2/23, 104, 56, 10, 12, 2, 21
2023/2/24, 90, 50, 9, 13, 2, 21
2023/3/2, 102, 61, 8, 44, 2, 56
2023/3/3, 85, 50, 6, 48, 2, 58
2023/3/4, 88, 37, 7, 33, 2, 56
2023/3/5, 81, 22, 7, 47, 2, 58
2023/3/6, 72, 25, 8, 33, 2, 57
2023/3/7, 69, 24, 9, 30, 2, 56
2023/3/8, 65, 29, 9, 31, 2, 56
2023/3/9, 62, 29, 9, 21, 2, 55
2023/3/10, 55, 28, 9, 21, 2, 55
2023/3/11, 52, 22, 8, 32, 2, 56
2023/3/12, 59, 22, 11, 26, 2, 54
2023/3/13, 47, 26, 11, 38, 2, 54
2023/3/14, 46, 39, , 44, 2, 57
2023/3/15, 77, 22, , 40, 2, 55
2023/3/16, 58, 22, , 33, 2, 56
2023/3/17, 61, 22, , 30, 2, 55
2023/3/18, 36, 17, , 24, 2, 54
2023/3/19, 36, 18, , 35, 2, 55
2023/3/20, 45, 52, , 91, 3, 64
2023/3/21, 104, 60, , 61, 2, 59
2023/3/22, 117, 36, , 69, 2, 55
2023/3/23, 36, 39, , 50, 2, 51
2022/10/1, 80, 55, 14, 32, 4, 14
2022/10/2, 81, 34, 18, 31, 4, 12
2022/10/3, 40, 28, 16, 28, 4, 12
2022/10/4, 38, 29, 16, 31, 4, 12
2022/10/5, 37, 32, 14, 38, 4, 13
2022/10/6, 38, 33, 12, 32, 4, 13
2022/10/7, 47, 33, 10, 37, 4, 14
2022/10/8, 48, 31, 17, 32, 4, 14
2022/10/9, 57, 39, 17, 46, 4, 15
2022/10/10, 63, 54, 16, 55, 5, 17
2022/10/11, 79, 56, 14, 45, 5, 17
2022/10/12, 92, 49, 12, 37, 4, 16
2022/10/13, 70, 45, 10, 43, 5, 16
2022/10/14, 61, 54, 12, 43, 4, 17
2022/10/15, 74, 45, 9, 26, 4, 15
2022/10/16, 62, 38, 9, 29, 4, 15
2022/10/17, 46, 35, 9, 33, 4, 16
2022/10/18, 45, 41, 9, 35, 4, 17
2022/10/19, 62, 50, 14, 44, 4, 18
2022/10/20, 75, 46, 15, 34, 4, 16
2022/10/21, 56, 41, 14, 47, 5, 17
2022/10/22, 49, 47, 17, 68, 5, 21
2022/10/23, 76, 51, 18, 78, 6, 23
2022/10/24, 94, 54, 16, 87, 5, 24
2022/10/25, 101, 64, 16, 92, 6, 28
2022/10/26, 115, 63, 14, 69, 5, 22
2022/10/27, 116, 49, 13, 36, 5, 19
2022/10/28, 61, 49, 15, 33, 5, 18
2022/10/29, 52, 52, 14, 37, 5, 19
